Character,Hex,Name,Braille
á,00E1,A WITH ACUTE,⠘⠌⠁
ʾ,02BE,RIGHT HALF RING,⠫
₅,2085,SUBSCRIPT FIVE,⠢⠼⠑
₄,2084,SUBSCRIPT FOUR,⠢⠼⠙
₃,2083,SUBSCRIPT THREE,⠢⠼⠉
₂,2082,SUBSCRIPT TWO,⠢⠼⠃
₁,2081,SUBSCRIPT ONE,⠢⠼⠁
ʿ,02BF,LEFT HALF RING,⠐⠫
×,00D7,MULTIPLICATION SIGN,⠐⠦
₇,2087,SUBSCRIPT SEVEN,⠢⠼⠛
Ŋ,014A,CAPITAL ENG,⠠⠐⠚
ŋ,014B,ENG,⠐⠚
Ḫ,1E2A,CAPITAL H WITH BREVE BELOW,⠠⠡
ḫ,1E2B,H WITH BREVE BELOW,⠡
Ṭ,1E6C,CAPITAL T WITH DOT BELOW,⠠⠐⠞
ṭ,1E6D,T WITH DOT BELOW,⠐⠞
₆,2086,SUBSCRIPT SIX,⠢⠼⠋
₈,2088,SUBSCRIPT EIGHT,⠢⠼⠓
ṣ,1E63,S WITH DOT BELOW,⠐⠎
Ḏ,1E0E,Capitol D with line below,⠠⠰⠙
ṯ,1E6F,T with Line Below,⠹
Ǵ,01F4,Capitol G with ACUTE,⠠⠘⠌⠛
ǵ,01F5,G with Acute,⠘⠌⠛
Ẓ,1E92,Capital Z with Dot Below,⠠⠐⠵
ẓ,1E93,Z with Dot Below,⠐⠵
ᵈ,1D48,subscript D,⠨⠙
ḏ,1E0F,D with line below,⠰⠙
₉,2089,SUBSCRIPT NINE,⠢⠼⠊
ʳ,02B3,SMALL R,⠗
⸥,2E25,BOTTOM RIGHT HALF BRACKET,⠨⠜
⸤,2E24,BOTTOM LEFT HALF BRACKET,⠨⠣
⸣,2E23,TOP RIGHT HALF BRACKET,⠨⠜
⸢,2E22,TOP LEFT HALF BRACKET,⠨⠣
ₓ,2093,SUBSCRIPT SMALL X,⠢⠭
Ṣ,1E62,CAPITAL S WITH DOT BELOW,⠠⠐⠎
Š,0160,CAPITAL S WITH CARON,⠠⠩
é,00E9,E WITH ACUTE,⠘⠌⠑
Ś,015A,CAPITAL S WITH ACUTE,⠠⠘⠌⠎
È,00C8,CAPITAL E WITH GRAVE,⠠⠘⠡⠑
À,00C0,CAPITAL A WITH GRAVE,⠠⠘⠡⠁
ù,00F9,U WITH GRAVE,⠘⠡⠥
ì,00EC,I WITH GRAVE,⠘⠡⠊
è,00E8,E WITH GRAVE,⠘⠡⠑
à,00E0,A WITH GRAVE,⠘⠡⠁
ś,015B,S WITH ACUTE,⠘⠌⠎
Ù,00D9,CAPITAL U WITH GRAVE,⠠⠘⠡⠥
Ú,00DA,CAPITAL U WITH ACUTE,⠠⠘⠌⠥
Í,00CD,CAPITAL I WITH ACUTE,⠠⠘⠌⠊
É,00C9,CAPITAL E WITH ACUTE,⠠⠘⠌⠑
Á,00C1,CAPITAL A WITH ACUTE,⠠⠘⠌⠁
ú,00FA,U WITH ACUTE,⠘⠌⠥
í,00ED,I WITH ACUTE,⠘⠌⠊
Ì,00CC,CAPITAL I WITH GRAVE,⠠⠘⠡⠊
ā,0101,A WITH MACRON,⠈⠤⠁
š,0161,S WITH CARON,⠩
ê,00EA,E WITH CIRCUMFLEX,⠘⠩⠑
Û,00DB,CAPITAL U WITH CIRCUMFLEX,⠠⠘⠩⠥
Î,00CE,CAPITAL I WITH CIRCUMFLEX,⠠⠘⠩⠊
Ê,00CA,CAPITAL E WITH CIRCUMFLEX,⠠⠘⠩⠑
Â,00C2,CAPITAL A WITH CIRCUMFLEX,⠠⠘⠩⠁
û,00FB,U WITH CIRCUMFLEX,⠘⠩⠥
î,00EE,I WITH CIRCUMFLEX,⠘⠩⠊
â,00E2,A WITH CIRCUMFLEX,⠘⠩⠁
ē,0113,E WITH MACRON,⠈⠤⠑
Ū,016A,CAPITAL U WITH MACRON,⠠⠈⠤⠥
Ī,012A,CAPITAL I WITH MACRON,⠠⠈⠤⠊
Ē,0112,CAPITAL E WITH MACRON,⠠⠈⠤⠑
Ā,0100,CAPITAL A WITH MACRON,⠠⠈⠤⠁
ū,016B,U WITH MACRON,⠈⠤⠥
ī,012B,I WITH MACRON,⠈⠤⠊
Ṯ,1E6E,Capital T with Line Below,⠠⠹
a,,a,⠁
A,,A,⠠⠁
b,,B,⠠⠃
c,,c,⠉
C,,C,⠠⠉
d,,d,⠙
D,,D,⠠⠙
e,,e,⠑
E,,E,⠠⠑
f,,f,⠋
F,,F,⠠⠋
g,,,⠛
G,,G,⠠⠛
h,,h,⠓
H,,H,⠠⠓
i,,i,⠊
I,,I,⠠⠊
j,,j,⠚
J,,J,⠠⠚
k,,k,⠅
K,,K,⠠⠅
l,,l,⠇
L,,L,⠠⠇
m,,m,⠍
M,,M,⠠⠍
n,,N,⠝
N,,N,⠠⠝
o,,o,⠕
O,,O,⠠⠕
p,,p,⠏
P,,P,⠠⠏
q,,q,⠟
Q,,Q,⠠⠟
r,,r,⠗
R,,R,⠠⠗
s,,s,⠎
S,,S,⠠⠎
t,,t,⠞
T,,T,⠠⠞
u,,u,⠥
U,,U,⠠⠥
V,,V,⠠⠧
v,,v,⠧
W,,W,⠠⠺
w,,w,⠺
X,,X,⠠⠭
x,,x,⠭
Y,,Y,⠠⠽
y,,y,⠽
z,,z,⠵
Z,,Z,⠠⠵
 ,,, 
1,,1,⠂
2,,2,⠆
3,,3,⠒
4,,4,⠲
5,,5,⠢
6,,6,⠖
7,,7,⠶
8,,8,⠦
9,,9,⠔
0,,0,⠴
*,,*,⠐⠦
+,,+,⠐⠖
/,,/,⠐⠌
_,,_,⠢
^,,^,⠔
<,,<,⠈⠣
>,,>,⠈⠜
#,,#,⠼
$,,$,⠈⠎
&,,&,⠈⠯
%,,%,⠨⠴
-,,-,⠤
;,,;,⠆
:,,:,⠒
',,',⠄
.,,.,⠲
?,,?,⠰⠦
!,,!,⠖
